prefix,bits,organization,registry
0001C4,24,"NeoWave, Inc.",MA-L
0001C5,24,Simpler Networks,MA-L
0001C6,24,Quarry Technologies,MA-L
0001C7,24,"Cisco Systems, Inc",MA-L
0001C8,24,CONRAD CORP.,MA-L
0001C9,24,"Cisco Systems, Inc",MA-L
0001CA,24,"Geocast Network Systems, Inc.",MA-L
0001CB,24,EVR,MA-L
0001CC,24,Brand Maker Enabler Inc.,MA-L
0001CD,24,ARtem,MA-L
0001CE,24,"Custom Micro Products, Ltd.",MA-L
0001CF,24,"Alpha Data Parallel Systems, Ltd.",MA-L
0001D0,24,"VitalPoint, Inc.",MA-L
0001D1,24,"CoNet Communications, Inc.",MA-L
0001D2,24,"inXtron, Inc.",MA-L
0001D3,24,"PAXCOMM, Inc.",MA-L
0001D4,24,"Leisure Time, Inc.",MA-L
0001D5,24,"HAEDONG INFO & COMM CO., LTD",MA-L
0001D6,24,manroland AG,MA-L
0001D7,24,F5 Inc.,MA-L
0001D8,24,"Teltronics, Inc.",MA-L
0001D9,24,"Sigma, Inc.",MA-L
0001DA,24,WINCOMM Corporation,MA-L
0001DB,24,Freecom Technologies GmbH,MA-L
0001DC,24,Activetelco,MA-L
0001DD,24,Avail Networks,MA-L
0001DE,24,"Trango Systems, Inc.",MA-L
0001DF,24,"ISDN Communications, Ltd.",MA-L
0001E0,24,"Fast Systems, Inc.",MA-L
0001E1,24,"Kinpo Electronics, Inc.",MA-L
0001E2,24,Ando Electric Corporation,MA-L
0001E3,24,Siemens AG,MA-L
0001E4,24,"Sitera, Inc.",MA-L
0001E5,24,"Supernet, Inc.",MA-L
0001E6,24,Hewlett Packard,MA-L
0001E7,24,Hewlett Packard,MA-L
0001E8,24,"Force10 Networks, Inc.",MA-L
0001E9,24,Litton Marine Systems B.V.,MA-L
0001EA,24,Cirilium Corp.,MA-L
0001EB,24,C-COM Corporation,MA-L
0001EC,24,Ericsson Group,MA-L
0001ED,24,SETA Corp.,MA-L
0001EE,24,"Comtrol Europe, Ltd.",MA-L
0001EF,24,Camtel Technology Corp.,MA-L
0001F0,24,"Tridium, Inc.",MA-L
0001F1,24,"Innovative Concepts, Inc.",MA-L
0001F2,24,"Mark of the Unicorn, Inc.",MA-L
0001F3,24,"QPS, Inc.",MA-L
0001F4,24,Enterasys,MA-L
0001F5,24,ERIM S.A.,MA-L
0001F6,24,Association of Musical Electronics Industry,MA-L
0001F7,24,"Image Display Systems, Inc.",MA-L
0001F8,24,TEXIO TECHNOLOGY CORPORATION,MA-L
0001F9,24,TeraGlobal Communications Corp.,MA-L
0001FA,24,HOROSCAS,MA-L
0001FB,24,"DoTop Technology, Inc.",MA-L
0001FC,24,Keyence Corporation,MA-L
0001FD,24,"Digital Voice Systems, Inc.",MA-L
0001FE,24,DIGITAL EQUIPMENT CORPORATION,MA-L
0001FF,24,"Data Direct Networks, Inc.",MA-L
000200,24,"Net & Sys Co., Ltd.",MA-L
000201,24,IFM Electronic gmbh,MA-L
000202,24,"Amino Communications, Ltd.",MA-L
000203,24,"Woonsang Telecom, Inc.",MA-L
000204,24,Bodmann Industries Elektronik GmbH,MA-L
000205,24,"Hitachi Denshi, Ltd.",MA-L
000206,24,Telital R&D Denmark A/S,MA-L
000207,24,VisionGlobal Network Corp.,MA-L
000208,24,"Unify Networks, Inc.",MA-L
000209,24,"Shenzhen SED Information Technology Co., Ltd.",MA-L
00020A,24,Gefran Spa,MA-L
00020B,24,"Native Networks, Inc.",MA-L
00020C,24,Metro-Optix,MA-L
00020D,24,Micronpc.com,MA-L
00020E,24,ECI Telecom Ltd.,MA-L
00020F,24,AATR,MA-L
000210,24,Fenecom,MA-L
000211,24,Nature Worldwide Technology Corp.,MA-L
000212,24,SierraCom,MA-L
000213,24,S.D.E.L.,MA-L
000214,24,DTVRO,MA-L
000215,24,Cotas Computer Technology A/B,MA-L
000216,24,"Cisco Systems, Inc",MA-L
000217,24,"Cisco Systems, Inc",MA-L
000218,24,Advanced Scientific Corp,MA-L
000219,24,Paralon Technologies,MA-L
00021A,24,Zuma Networks,MA-L
00021B,24,Kollmorgen-Servotronix,MA-L
00021C,24,"Network Elements, Inc.",MA-L
00021D,24,Data General Communication Ltd.,MA-L
00021E,24,SIMTEL S.R.L.,MA-L
00021F,24,Aculab PLC,MA-L
000220,24,CANON FINETECH INC.,MA-L
000221,24,"DSP Application, Ltd.",MA-L
000222,24,"Chromisys, Inc.",MA-L
000223,24,ClickTV,MA-L
